PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
88,0,3,Synthetic Passenger 0088,male,,0,0,SYN-TICKET-0088,8.05,,S
89,1,1,Synthetic Passenger 0089,female,23,3,2,SYN-TICKET-0089,263,C23 C25 C27,S
90,0,3,Synthetic Passenger 0090,male,24,0,0,SYN-TICKET-0090,8.05,,S
91,0,3,Synthetic Passenger 0091,male,29,0,0,SYN-TICKET-0091,8.05,,S
92,0,3,Synthetic Passenger 0092,male,20,0,0,SYN-TICKET-0092,7.8542,,S
93,0,1,Synthetic Passenger 0093,male,46,1,0,SYN-TICKET-0093,61.175,E31,S
94,0,3,Synthetic Passenger 0094,male,26,1,2,SYN-TICKET-0094,20.575,,S
95,0,3,Synthetic Passenger 0095,male,59,0,0,SYN-TICKET-0095,7.25,,S
96,0,3,Synthetic Passenger 0096,male,,0,0,SYN-TICKET-0096,8.05,,S
97,0,1,Synthetic Passenger 0097,male,71,0,0,SYN-TICKET-0097,34.6542,A5,C
98,1,1,Synthetic Passenger 0098,male,23,0,1,SYN-TICKET-0098,63.3583,D10 D12,C
99,1,2,Synthetic Passenger 0099,female,34,0,1,SYN-TICKET-0099,23,,S
100,0,2,Synthetic Passenger 0100,male,34,1,0,SYN-TICKET-0100,26,,S
101,0,3,Synthetic Passenger 0101,female,28,0,0,SYN-TICKET-0101,7.8958,,S
102,0,3,Synthetic Passenger 0102,male,,0,0,SYN-TICKET-0102,7.8958,,S
103,0,1,Synthetic Passenger 0103,male,21,0,1,SYN-TICKET-0103,77.2875,D26,S
104,0,3,Synthetic Passenger 0104,male,33,0,0,SYN-TICKET-0104,8.6542,,S
105,0,3,Synthetic Passenger 0105,male,37,2,0,SYN-TICKET-0105,7.925,,S
106,0,3,Synthetic Passenger 0106,male,28,0,0,SYN-TICKET-0106,7.8958,,S
107,1,3,Synthetic Passenger 0107,female,21,0,0,SYN-TICKET-0107,7.65,,S
108,1,3,Synthetic Passenger 0108,male,,0,0,SYN-TICKET-0108,7.775,,S
109,0,3,Synthetic Passenger 0109,male,38,0,0,SYN-TICKET-0109,7.8958,,S
110,1,3,Synthetic Passenger 0110,female,,1,0,SYN-TICKET-0110,24.15,,Q
111,0,1,Synthetic Passenger 0111,male,47,0,0,SYN-TICKET-0111,52,C110,S
112,0,3,Synthetic Passenger 0112,female,14.5,1,0,SYN-TICKET-0112,14.4542,,C
113,0,3,Synthetic Passenger 0113,male,22,0,0,SYN-TICKET-0113,8.05,,S
114,0,3,Synthetic Passenger 0114,female,20,1,0,SYN-TICKET-0114,9.825,,S
115,0,3,Synthetic Passenger 0115,female,17,0,0,SYN-TICKET-0115,14.4583,,C
116,0,3,Synthetic Passenger 0116,male,21,0,0,SYN-TICKET-0116,7.925,,S
117,0,3,Synthetic Passenger 0117,male,70.5,0,0,SYN-TICKET-0117,7.75,,Q
118,0,2,Synthetic Passenger 0118,male,29,1,0,SYN-TICKET-0118,21,,S
119,0,1,Synthetic Passenger 0119,male,24,0,1,SYN-TICKET-0119,247.5208,B58 B60,C
120,0,3,Synthetic Passenger 0120,female,2,4,2,SYN-TICKET-0120,31.275,,S
121,0,2,Synthetic Passenger 0121,male,21,2,0,SYN-TICKET-0121,73.5,,S
122,0,3,Synthetic Passenger 0122,male,,0,0,SYN-TICKET-0122,8.05,,S
123,0,2,Synthetic Passenger 0123,male,32.5,1,0,SYN-TICKET-0123,30.0708,,C
124,1,2,Synthetic Passenger 0124,female,32.5,0,0,SYN-TICKET-0124,13,E101,S
125,0,1,Synthetic Passenger 0125,male,54,0,1,SYN-TICKET-0125,77.2875,D26,S
126,1,3,Synthetic Passenger 0126,male,12,1,0,SYN-TICKET-0126,11.2417,,C
127,0,3,Synthetic Passenger 0127,male,,0,0,SYN-TICKET-0127,7.75,,Q
128,1,3,Synthetic Passenger 0128,male,24,0,0,SYN-TICKET-0128,7.1417,,S
129,1,3,Synthetic Passenger 0129,female,,1,1,SYN-TICKET-0129,22.3583,F E69,C
130,0,3,Synthetic Passenger 0130,male,45,0,0,SYN-TICKET-0130,6.975,,S
131,0,3,Synthetic Passenger 0131,male,33,0,0,SYN-TICKET-0131,7.8958,,C
132,0,3,Synthetic Passenger 0132,male,20,0,0,SYN-TICKET-0132,7.05,,S
133,0,3,Synthetic Passenger 0133,female,47,1,0,SYN-TICKET-0133,14.5,,S
134,1,2,Synthetic Passenger 0134,female,29,1,0,SYN-TICKET-0134,26,,S
135,0,2,Synthetic Passenger 0135,male,25,0,0,SYN-TICKET-0135,13,,S
136,0,2,Synthetic Passenger 0136,male,23,0,0,SYN-TICKET-0136,15.0458,,C
137,1,1,Synthetic Passenger 0137,female,19,0,2,SYN-TICKET-0137,26.2833,D47,S
138,0,1,Synthetic Passenger 0138,male,37,1,0,SYN-TICKET-0138,53.1,C123,S
139,0,3,Synthetic Passenger 0139,male,16,0,0,SYN-TICKET-0139,9.2167,,S
140,0,1,Synthetic Passenger 0140,male,24,0,0,SYN-TICKET-0140,79.2,B86,C
141,0,3,Synthetic Passenger 0141,female,,0,2,SYN-TICKET-0141,15.2458,,C
142,1,3,Synthetic Passenger 0142,female,22,0,0,SYN-TICKET-0142,7.75,,S
143,1,3,Synthetic Passenger 0143,female,24,1,0,SYN-TICKET-0143,15.85,,S
144,0,3,Synthetic Passenger 0144,male,19,0,0,SYN-TICKET-0144,6.75,,Q
145,0,2,Synthetic Passenger 0145,male,18,0,0,SYN-TICKET-0145,11.5,,S
146,0,2,Synthetic Passenger 0146,male,19,1,1,SYN-TICKET-0146,36.75,,S
147,1,3,Synthetic Passenger 0147,male,27,0,0,SYN-TICKET-0147,7.7958,,S
148,0,3,Synthetic Passenger 0148,female,9,2,2,SYN-TICKET-0148,34.375,,S
149,0,2,Synthetic Passenger 0149,male,36.5,0,2,SYN-TICKET-0149,26,F2,S
150,0,2,Synthetic Passenger 0150,male,42,0,0,SYN-TICKET-0150,13,,S
151,0,2,Synthetic Passenger 0151,male,51,0,0,SYN-TICKET-0151,12.525,,S
152,1,1,Synthetic Passenger 0152,female,22,1,0,SYN-TICKET-0152,66.6,C2,S
153,0,3,Synthetic Passenger 0153,male,55.5,0,0,SYN-TICKET-0153,8.05,,S
154,0,3,Synthetic Passenger 0154,male,40.5,0,2,SYN-TICKET-0154,14.5,,S
155,0,3,Synthetic Passenger 0155,male,,0,0,SYN-TICKET-0155,7.3125,,S
156,0,1,Synthetic Passenger 0156,male,51,0,1,SYN-TICKET-0156,61.3792,,C
157,1,3,Synthetic Passenger 0157,female,16,0,0,SYN-TICKET-0157,7.7333,,Q
158,0,3,Synthetic Passenger 0158,male,30,0,0,SYN-TICKET-0158,8.05,,S
159,0,3,Synthetic Passenger 0159,male,,0,0,SYN-TICKET-0159,8.6625,,S
160,0,3,Synthetic Passenger 0160,male,,8,2,SYN-TICKET-0160,69.55,,S
161,0,3,Synthetic Passenger 0161,male,44,0,1,SYN-TICKET-0161,16.1,,S
162,1,2,Synthetic Passenger 0162,female,40,0,0,SYN-TICKET-0162,15.75,,S
163,0,3,Synthetic Passenger 0163,male,26,0,0,SYN-TICKET-0163,7.775,,S
164,0,3,Synthetic Passenger 0164,male,17,0,0,SYN-TICKET-0164,8.6625,,S
165,0,3,Synthetic Passenger 0165,male,1,4,1,SYN-TICKET-0165,39.6875,,S
166,1,3,Synthetic Passenger 0166,male,9,0,2,SYN-TICKET-0166,20.525,,S
167,1,1,Synthetic Passenger 0167,female,,0,1,SYN-TICKET-0167,55,E33,S
168,0,3,Synthetic Passenger 0168,female,45,1,4,SYN-TICKET-0168,27.9,,S
169,0,1,Synthetic Passenger 0169,male,,0,0,SYN-TICKET-0169,25.925,,S
170,0,3,Synthetic Passenger 0170,male,28,0,0,SYN-TICKET-0170,56.4958,,S
171,0,1,Synthetic Passenger 0171,male,61,0,0,SYN-TICKET-0171,33.5,B19,S
172,0,3,Synthetic Passenger 0172,male,4,4,1,SYN-TICKET-0172,29.125,,Q
173,1,3,Synthetic Passenger 0173,female,1,1,1,SYN-TICKET-0173,11.1333,,S
174,0,3,Synthetic Passenger 0174,male,21,0,0,SYN-TICKET-0174,7.925,,S
175,0,1,Synthetic Passenger 0175,male,56,0,0,SYN-TICKET-0175,30.6958,A7,C
176,0,3,Synthetic Passenger 0176,male,18,1,1,SYN-TICKET-0176,7.8542,,S
177,0,3,Synthetic Passenger 0177,male,,3,1,SYN-TICKET-0177,25.4667,,S
178,0,1,Synthetic Passenger 0178,female,50,0,0,SYN-TICKET-0178,28.7125,C49,C
179,0,2,Synthetic Passenger 0179,male,30,0,0,SYN-TICKET-0179,13,,S
180,0,3,Synthetic Passenger 0180,male,36,0,0,SYN-TICKET-0180,0,,S
181,0,3,Synthetic Passenger 0181,female,,8,2,SYN-TICKET-0181,69.55,,S
182,0,2,Synthetic Passenger 0182,male,,0,0,SYN-TICKET-0182,15.05,,C
183,0,3,Synthetic Passenger 0183,male,9,4,2,SYN-TICKET-0183,31.3875,,S
184,1,2,Synthetic Passenger 0184,male,1,2,1,SYN-TICKET-0184,39,F4,S
185,1,3,Synthetic Passenger 0185,female,4,0,2,SYN-TICKET-0185,22.025,,S
186,0,1,Synthetic Passenger 0186,male,,0,0,SYN-TICKET-0186,50,A32,S
187,1,3,Synthetic Passenger 0187,female,,1,0,SYN-TICKET-0187,15.5,,Q
188,1,1,Synthetic Passenger 0188,male,45,0,0,SYN-TICKET-0188,26.55,,S
189,0,3,Synthetic Passenger 0189,male,40,1,1,SYN-TICKET-0189,15.5,,Q
190,0,3,Synthetic Passenger 0190,male,36,0,0,SYN-TICKET-0190,7.8958,,S
191,1,2,Synthetic Passenger 0191,female,32,0,0,SYN-TICKET-0191,13,,S
192,0,2,Synthetic Passenger 0192,male,19,0,0,SYN-TICKET-0192,13,,S
193,1,3,Synthetic Passenger 0193,female,19,1,0,SYN-TICKET-0193,7.8542,,S
194,1,2,Synthetic Passenger 0194,male,3,1,1,SYN-TICKET-0194,26,F2,S
195,1,1,Synthetic Passenger 0195,female,44,0,0,SYN-TICKET-0195,27.7208,B4,C
196,1,1,Synthetic Passenger 0196,female,58,0,0,SYN-TICKET-0196,146.5208,B80,C
197,0,3,Synthetic Passenger 0197,male,,0,0,SYN-TICKET-0197,7.75,,Q
198,0,3,Synthetic Passenger 0198,male,42,0,1,SYN-TICKET-0198,8.4042,,S
199,1,3,Synthetic Passenger 0199,female,,0,0,SYN-TICKET-0199,7.75,,Q
200,0,2,Synthetic Passenger 0200,female,24,0,0,SYN-TICKET-0200,13,,S
201,0,3,Synthetic Passenger 0201,male,28,0,0,SYN-TICKET-0201,9.5,,S
202,0,3,Synthetic Passenger 0202,male,,8,2,SYN-TICKET-0202,69.55,,S
203,0,3,Synthetic Passenger 0203,male,34,0,0,SYN-TICKET-0203,6.4958,,S
204,0,3,Synthetic Passenger 0204,male,45.5,0,0,SYN-TICKET-0204,7.225,,C
205,1,3,Synthetic Passenger 0205,male,18,0,0,SYN-TICKET-0205,8.05,,S
206,0,3,Synthetic Passenger 0206,female,2,0,1,SYN-TICKET-0206,10.4625,G6,S
207,0,3,Synthetic Passenger 0207,male,32,1,0,SYN-TICKET-0207,15.85,,S
208,1,3,Synthetic Passenger 0208,male,26,0,0,SYN-TICKET-0208,18.7875,,C
209,1,3,Synthetic Passenger 0209,female,16,0,0,SYN-TICKET-0209,7.75,,Q
210,1,1,Synthetic Passenger 0210,male,40,0,0,SYN-TICKET-0210,31,A31,C
211,0,3,Synthetic Passenger 0211,male,24,0,0,SYN-TICKET-0211,7.05,,S
212,1,2,Synthetic Passenger 0212,female,35,0,0,SYN-TICKET-0212,21,,S
213,0,3,Synthetic Passenger 0213,male,22,0,0,SYN-TICKET-0213,7.25,,S
214,0,2,Synthetic Passenger 0214,male,30,0,0,SYN-TICKET-0214,13,,S
215,0,3,Synthetic Passenger 0215,male,,1,0,SYN-TICKET-0215,7.75,,Q
216,1,1,Synthetic Passenger 0216,female,31,1,0,SYN-TICKET-0216,113.275,D36,C
217,1,3,Synthetic Passenger 0217,female,27,0,0,SYN-TICKET-0217,7.925,,S
218,0,2,Synthetic Passenger 0218,male,42,1,0,SYN-TICKET-0218,27,,S
219,1,1,Synthetic Passenger 0219,female,32,0,0,SYN-TICKET-0219,76.2917,D15,C
220,0,2,Synthetic Passenger 0220,male,30,0,0,SYN-TICKET-0220,10.5,,S
221,1,3,Synthetic Passenger 0221,male,16,0,0,SYN-TICKET-0221,8.05,,S
222,0,2,Synthetic Passenger 0222,male,27,0,0,SYN-TICKET-0222,13,,S
223,0,3,Synthetic Passenger 0223,male,51,0,0,SYN-TICKET-0223,8.05,,S
224,0,3,Synthetic Passenger 0224,male,,0,0,SYN-TICKET-0224,7.8958,,S
225,1,1,Synthetic Passenger 0225,male,38,1,0,SYN-TICKET-0225,90,C93,S
226,0,3,Synthetic Passenger 0226,male,22,0,0,SYN-TICKET-0226,9.35,,S
227,1,2,Synthetic Passenger 0227,male,19,0,0,SYN-TICKET-0227,10.5,,S
228,0,3,Synthetic Passenger 0228,male,20.5,0,0,SYN-TICKET-0228,7.25,,S
229,0,2,Synthetic Passenger 0229,male,18,0,0,SYN-TICKET-0229,13,,S
230,0,3,Synthetic Passenger 0230,female,,3,1,SYN-TICKET-0230,25.4667,,S
231,1,1,Synthetic Passenger 0231,female,35,1,0,SYN-TICKET-0231,83.475,C83,S
232,0,3,Synthetic Passenger 0232,male,29,0,0,SYN-TICKET-0232,7.775,,S
233,0,2,Synthetic Passenger 0233,male,59,0,0,SYN-TICKET-0233,13.5,,S
234,1,3,Synthetic Passenger 0234,female,5,4,2,SYN-TICKET-0234,31.3875,,S
235,0,2,Synthetic Passenger 0235,male,24,0,0,SYN-TICKET-0235,10.5,,S
236,0,3,Synthetic Passenger 0236,female,,0,0,SYN-TICKET-0236,7.55,,S
237,0,2,Synthetic Passenger 0237,male,44,1,0,SYN-TICKET-0237,26,,S
238,1,2,Synthetic Passenger 0238,female,8,0,2,SYN-TICKET-0238,26.25,,S
239,0,2,Synthetic Passenger 0239,male,19,0,0,SYN-TICKET-0239,10.5,,S
240,0,2,Synthetic Passenger 0240,male,33,0,0,SYN-TICKET-0240,12.275,,S
241,0,3,Synthetic Passenger 0241,female,,1,0,SYN-TICKET-0241,14.4542,,C
242,1,3,Synthetic Passenger 0242,female,,1,0,SYN-TICKET-0242,15.5,,Q
243,0,2,Synthetic Passenger 0243,male,29,0,0,SYN-TICKET-0243,10.5,,S
244,0,3,Synthetic Passenger 0244,male,22,0,0,SYN-TICKET-0244,7.125,,S
245,0,3,Synthetic Passenger 0245,male,30,0,0,SYN-TICKET-0245,7.225,,C
246,0,1,Synthetic Passenger 0246,male,44,2,0,SYN-TICKET-0246,90,C78,Q
247,0,3,Synthetic Passenger 0247,female,25,0,0,SYN-TICKET-0247,7.775,,S
248,1,2,Synthetic Passenger 0248,female,24,0,2,SYN-TICKET-0248,14.5,,S
249,1,1,Synthetic Passenger 0249,male,37,1,1,SYN-TICKET-0249,52.5542,D35,S
250,0,2,Synthetic Passenger 0250,male,54,1,0,SYN-TICKET-0250,26,,S
251,0,3,Synthetic Passenger 0251,male,,0,0,SYN-TICKET-0251,7.25,,S
252,0,3,Synthetic Passenger 0252,female,29,1,1,SYN-TICKET-0252,10.4625,G6,S
253,0,1,Synthetic Passenger 0253,male,62,0,0,SYN-TICKET-0253,26.55,C87,S
254,0,3,Synthetic Passenger 0254,male,30,1,0,SYN-TICKET-0254,16.1,,S
255,0,3,Synthetic Passenger 0255,female,41,0,2,SYN-TICKET-0255,20.2125,,S
256,1,3,Synthetic Passenger 0256,female,29,0,2,SYN-TICKET-0256,15.2458,,C
257,1,1,Synthetic Passenger 0257,female,,0,0,SYN-TICKET-0257,79.2,,C
258,1,1,Synthetic Passenger 0258,female,30,0,0,SYN-TICKET-0258,86.5,B77,S
259,1,1,Synthetic Passenger 0259,female,35,0,0,SYN-TICKET-0259,512.3292,,C
260,1,2,Synthetic Passenger 0260,female,50,0,1,SYN-TICKET-0260,26,,S
261,0,3,Synthetic Passenger 0261,male,,0,0,SYN-TICKET-0261,7.75,,Q
262,1,3,Synthetic Passenger 0262,male,3,4,2,SYN-TICKET-0262,31.3875,,S
263,0,1,Synthetic Passenger 0263,male,52,1,1,SYN-TICKET-0263,79.65,E67,S
264,0,1,Synthetic Passenger 0264,male,40,0,0,SYN-TICKET-0264,0,B94,S
265,0,3,Synthetic Passenger 0265,female,,0,0,SYN-TICKET-0265,7.75,,Q
266,0,2,Synthetic Passenger 0266,male,36,0,0,SYN-TICKET-0266,10.5,,S
267,0,3,Synthetic Passenger 0267,male,16,4,1,SYN-TICKET-0267,39.6875,,S
268,1,3,Synthetic Passenger 0268,male,25,1,0,SYN-TICKET-0268,7.775,,S
269,1,1,Synthetic Passenger 0269,female,58,0,1,SYN-TICKET-0269,153.4625,C125,S
270,1,1,Synthetic Passenger 0270,female,35,0,0,SYN-TICKET-0270,135.6333,C99,S
271,0,1,Synthetic Passenger 0271,male,,0,0,SYN-TICKET-0271,31,,S
272,1,3,Synthetic Passenger 0272,male,25,0,0,SYN-TICKET-0272,0,,S
273,1,2,Synthetic Passenger 0273,female,41,0,1,SYN-TICKET-0273,19.5,,S
274,0,1,Synthetic Passenger 0274,male,37,0,1,SYN-TICKET-0274,29.7,C118,C
275,1,3,Synthetic Passenger 0275,female,,0,0,SYN-TICKET-0275,7.75,,Q
276,1,1,Synthetic Passenger 0276,female,63,1,0,SYN-TICKET-0276,77.9583,D7,S
277,0,3,Synthetic Passenger 0277,female,45,0,0,SYN-TICKET-0277,7.75,,S
278,0,2,Synthetic Passenger 0278,male,,0,0,SYN-TICKET-0278,0,,S
279,0,3,Synthetic Passenger 0279,male,7,4,1,SYN-TICKET-0279,29.125,,Q
280,1,3,Synthetic Passenger 0280,female,35,1,1,SYN-TICKET-0280,20.25,,S
281,0,3,Synthetic Passenger 0281,male,65,0,0,SYN-TICKET-0281,7.75,,Q
282,0,3,Synthetic Passenger 0282,male,28,0,0,SYN-TICKET-0282,7.8542,,S
283,0,3,Synthetic Passenger 0283,male,16,0,0,SYN-TICKET-0283,9.5,,S
284,1,3,Synthetic Passenger 0284,male,19,0,0,SYN-TICKET-0284,8.05,,S
285,0,1,Synthetic Passenger 0285,male,,0,0,SYN-TICKET-0285,26,A19,S
286,0,3,Synthetic Passenger 0286,male,33,0,0,SYN-TICKET-0286,8.6625,,C
287,1,3,Synthetic Passenger 0287,male,30,0,0,SYN-TICKET-0287,9.5,,S
288,0,3,Synthetic Passenger 0288,male,22,0,0,SYN-TICKET-0288,7.8958,,S
289,1,2,Synthetic Passenger 0289,male,42,0,0,SYN-TICKET-0289,13,,S
290,1,3,Synthetic Passenger 0290,female,22,0,0,SYN-TICKET-0290,7.75,,Q
291,1,1,Synthetic Passenger 0291,female,26,0,0,SYN-TICKET-0291,78.85,,S
292,1,1,Synthetic Passenger 0292,female,19,1,0,SYN-TICKET-0292,91.0792,B49,C
293,0,2,Synthetic Passenger 0293,male,36,0,0,SYN-TICKET-0293,12.875,D,C
294,0,3,Synthetic Passenger 0294,female,24,0,0,SYN-TICKET-0294,8.85,,S
295,0,3,Synthetic Passenger 0295,male,24,0,0,SYN-TICKET-0295,7.8958,,S
296,0,1,Synthetic Passenger 0296,male,,0,0,SYN-TICKET-0296,27.7208,,C
297,0,3,Synthetic Passenger 0297,male,23.5,0,0,SYN-TICKET-0297,7.2292,,C
298,0,1,Synthetic Passenger 0298,female,2,1,2,SYN-TICKET-0298,151.55,C22 C26,S
299,1,1,Synthetic Passenger 0299,male,,0,0,SYN-TICKET-0299,30.5,C106,S
